bad	悪い
bakery	パン屋
bath	ふろ
bed	ベッド
best	いちばんよい
big	大きい
bike	自転車
boat	ボート
book	本
bookstore	書店
bus	バス
cap	ぼうし
classroom	教室
clean	掃除する
clock	時計
cloudy	くもった
cold	寒い
compasses	コンパス
computer	コンピュータ
cool	すずしい
crayon	クレヨン
entrance	入り口
eraser	消しゴム
get up	起きる
go	行く
go home	家に帰る
go to bed	ねる
gold	金
good	よい
hat	ぼうし
hospital	病院
hot	暑い
house	家
library	図書館
light	明かり
magnet	じしゃく
marker	マーカー
moon	月
music	音楽
name	名前
notebook	ノート
pen	ペン
pencil	えんぴつ
pencil case	筆箱
phone	電話
rainy	雨の
restroom	トイレ
right	右
rope	ロープ
ruler	じょうぎ
school	学校
scissors	はさみ
shop	お店
sit down	すわる
snowy	雪の
stand up	立ち上がる
station	駅
stop	止まる
store	お店
straight	まっすぐ
study	勉強する
sunny	晴れた
supermarket	スーパーマーケット
take	取る
touch	さわる
town	町
train	電車
tree	木
turn	曲がる
vest	ベスト
warm	あたたかい
watch	見る
windy	風の強い
