CLOSED	閉店
OPEN	営業中
PARKING	ちゅう車場
SALE	安売り
STOP	止まれ
ant	アリ
apples	リンゴ
arm	うで
bad	悪い
badminton	バドミントン
bakery	パン屋
ballet	バレエ
baseball	野球
basketball	バスケットボール
bat	コウモリ
bath	ふろ
bed	ベッド
best	いちばんよい
big	大きい
bike	自転車
boat	ボート
book	本
bookstore	書店
boxing	ボクシング
bus	バス
cabbages	キャベツ
cake	ケーキ
cap	ぼうし
carrots	ニンジン
cat	ネコ
classroom	教室
clean	掃除する
clock	時計
cloudy	くもった
cold	寒い
compasses	コンパス
computer	コンピュータ
cooking	料理
cool	すずしい
corn	トウモロコシ
crayon	クレヨン
cucumbers	キュウリ
cup	カップ
dodgeball	ドッジボール
dog	イヌ
ear	耳
eat	食べる
eggplants	ナス
elephant	ゾウ
entrance	入り口
eraser	消しゴム
eye	目
face	顔
fat	太った
father	父
fish	魚
foot	足
fox	キツネ
get up	起きる
go	行く
go home	家に帰る
go to bed	ねる
gold	金
golf	ゴルフ
good	よい
gym	体育館
hair	かみの毛
hand	手
hat	ぼうし
head	頭
hospital	病院
hot	暑い
house	家
juice	ジュース
jump	ジャンプする
knee	ひざ
leaf	葉
leg	あし
lemons	レモン
lettuces	レタス
library	図書館
light	明かり
lunch	昼ごはん
magnet	じしゃく
marathon	マラソン
marker	マーカー
melons	メロン
moon	月
mother	母
mouse	ネズミ
mouth	口
mushrooms	キノコ
music	音楽
name	名前
neck	首
nose	鼻
notebook	ノート
onions	タマネギ
oranges	オレンジ
park	公園
peaches	モモ
pen	ペン
pencil	えんぴつ
pencil case	筆箱
phone	電話
pie	パイ
pig	ブタ
pineapples	パイナップル
play	遊ぶ
playground	運動場
potatoes	ジャガイモ
pumpkins	カボチャ
rainy	雨の
restaurant	レストラン
restroom	トイレ
right	右
rope	ロープ
ruler	じょうぎ
run	走る
school	学校
scissors	はさみ
shop	お店
shoulder	かた
sit down	すわる
snowy	雪の
soccer	サッカー
stand up	立ち上がる
station	駅
stop	止まる
store	お店
straight	まっすぐ
strawberry	イチゴ
study	勉強する
sunny	晴れた
supermarket	スーパーマーケット
surfing	サーフィン
swimming	水泳
take	取る
teacher	先生
teeth	歯
tennis	テニス
tomatoes	トマト
touch	さわる
town	町
train	電車
tree	木
turn	曲がる
vest	ベスト
volleyball	バレーボール
walk	歩く
warm	あたたかい
watch	見る
watermelons	スイカ
windy	風の強い
