teenage	十代	anc
platinum	プラチナ(色･金属元素)	anc
watt	ワット(電力･工率の単位)	anc
illness	不健康|病気	anc
expense	支出	anc
modeling	モデリング	anc
inform	知らせる	anc
atmosphere	雰囲気|環境|空気|気圧|媒体ガス|触媒|大気	anc
jam	混雑|ジャム|妨害する|詰め込む	anc
alternate	かわるがわる|互い違いの	anc
memorabilia	記憶すべきこと･もの	anc
pitch	ピッチ|程度|投げる|(テントを)張る	anc
shield	かばう|シールド|盾|防御物|を保護する	anc
strain	傾向|素質|話し(書き)ぶり|旋律|気質|緊張させる|ぴんと張る|痛める	original
bread	パン	anc
behaviour	行動	anc
trainer	訓練者|コーチ|指導者|練習機	anc
electricity	電気学|電気(学)|気学|電流|電力	anc
compilation	編集|編集物|寄せ集め	anc
harbor	(考え･計画など)を心にいだく|をかくまう|港|避難所	anc
thick	厚い|分厚い|混雑している|濃い|深い|鈍い|太い部分|賑やかなところ|(方言などが)明瞭にわかる	anc
flame	光彩|炎|情熱|火炎|光輝|激情	anc
declaration	宣言|通知|申告	anc
aspect	面|様子|外観|性状|顔つき|姿|(文法)動詞の相|アスペクト	anc
awesome	すごい|とてもいい	anc
pizza	ピザ(パイ)	anc
screw	ねじくぎ|木ネジ|スクリュー|らせん状のもの|苦しめる|痛めつける|をねじ釘で取り付ける	anc
candy	キャンデー	anc
federation	連邦|連盟|連邦政府|同盟|組合|連合	anc
hist	シーッ|静かに|静まる|シーと言って追い立てる	anc
consult	に助言を求める|意見を聞く|に相談する|を参考にする|を調べる	anc
torture	を拷問にかける|苦しめる|ねじる|拷問|苦痛|歪曲	anc
passion	激情|熱情|感情|熱中	anc
tile	タイル|かわら|化粧タイル|牌	anc
prospect	予想|候補者|見晴らし|観察|を調査する	anc
advocate	弁護する|擁護する|主張する|弁護士|支持者|運動家	anc
involvement	関わり|巻き込むこと	anc
incorporate	を具体化する|法人組織にする|合併する|組込む|受け入れる	anc
pursue	を追求する|追う|を続ける|実行する	anc
shoot	を撃つ|を射る|シュート(する)	anc
deputy	代理人|副～|代理|副|代理の	anc
worship	礼拝する|崇拝する|礼拝|賛美|を崇拝する	anc
supplement	補足|追加|補遺|補角|を補う	anc
probability	ありそうな事柄|ありそうなこと|蓋然性|見込み|公算|確率|可能性	anc
petition	嘆願|請願(書)|申し立て(書)|を請求する|を願う	anc
eligibility	適任|適格(性)|有資格	anc
booty	盗品|戦利品|略奪品	anc
hub	(車輪の)ハブ|中心|集線装置	anc
alien	在留外国人|異邦人|異星人	anc
excel	しのぐ|優る	anc
chase	を追う|を追跡する|を追い払う|追撃|狩り	anc
subsequent	それに続く|その後の|次の|後に来る	anc
arch	アーチ|弓形|主な|主要な|土踏まず	anc
viewer	見る人|見物人|検査官|テレビ視聴者|聴視者|観覧者	anc
radiation	放射線|放射|輻射|放熱	original
licence	許可する|に免許を許す|免許(証)|気まま|破格	anc
shade	陰|光(熱)をさえぎるもの|陰影|わずかな違い|を陰にする|サングラス	anc
grain	穀物|種子|粒|少量|1粒|グレイン|粒にする|木目	anc
moral	道徳の|道徳的な|精神的な|教訓|品行	anc
pride	プライド|誇る|自尊心|高慢|うぬぼれ|横柄|尊大|自慢の種|全盛	anc
arrow	矢	anc
cord	コード|紐	original
adequate	適した|適当な|適切な|十分な	anc
shit	排便行為|(俗)くそ|たわごと|くだらないもの(奴)	anc
receptor	レセプター(受容体)	anc
powder	パウダー|粉	anc
hence	それゆえに|今から先|故に|今後	anc
tap	こつこつ叩く|開発する|引き出す|栓を抜く|靴の音|飲み口|栓|蛇口|盗聴|電話盗聴(傍受)装置|盗聴する	original
entirely	全く	anc
rider	ライダー	anc
cure	を治療する|(悪い習慣など)を直す|治療法	anc
ion	イオン	original
syndrome	シンドローム|症候群(病的諸傾向)|一連の事物(事件)|ある状況下での行動様式|病的現象	anc
diagnostic	診断の	anc
closely	きっちりと|近く|親密に	anc
seriously	真面目に|本気に|深刻に|重く|まじめに|まじめな話だが|ひどく	anc
soap	せっけん|石鹸|を石鹸で洗う	anc
pollution	公害|汚すこと|汚染|汚れ	anc
leaf	葉	original
pointer	助言|アドバイス|指し示す人|指摘者|むち|猟犬	anc
remind	を思い出させる	anc
hazard	危険にさらす|危険|冒険|偶然|運|災害|障害|要因となるもの	anc
personality	個性|人物|人格|名士|人間であること|独特な雰囲気|テレビによくでる有名人	anc
chest	収納箱|胸郭|金庫|たんす|肺	anc
elsewhere	他の場所に|他のところで|他のどこかで	anc
effectiveness	有効	anc
abroad	外国で|外国へ	anc
urge	強く迫る|説得する	anc
ebony	(ほめて)漆黒の|真っ黒の|黒檀(こくたん)(の)	anc
tail	尾|尻尾|尾状のもの|後部|下っ端|に随行する|見張り|尾行|尾行者|見張りの者	anc
lifetime	生涯(の)|一生(の)	anc
grab	ひったくる|逮捕する|を横取りする|物をつかむ機械|わしづかみ|好意|猶予|気品	anc
hybrid	混成語|雑種|合いの子|ハイブリッド|混成物	anc
relate	関係がある|を関係づける|を述べる|話す	anc
vista	展望|眺望|ながめ|見通し|予想	anc
spare	スペア|貯え|手放す(to treat mercifully)|勘弁する|容赦する|出し惜しむ|を取っておく|を使わない	anc
tribe	部族|種族|一族	anc
partial	一部分の|不完全な|一部(分)の|不公平な|とても好きな	anc
beverage	飲料|飲み物	anc
farmer	農場主	anc
yoga	ヨガ|ヨガの行(瞑想的修行法)	anc
whereas	･･であるのに	anc
glad	うれしい	anc
copper	(軽蔑的に)警官|銅|銅板|銅器|銅製品|銅貨	anc
everybody	誰でも	anc
succeed	成功する|あとを継ぐ|続く|継承する	anc
treasure	大切にする|(思い出など)を取っておく|宝|財産|富|重要な物	anc
sublime	気高い|崇高な|雄大な|卓越した|高尚にする|浄化される|(化学)昇華する	anc
defend	防衛する|守る	anc
ordinary	普通の|ありふれた|直轄の	anc
acceptable	容認できる	anc
reception	receiveの名詞形|歓迎会|披露宴|聴取|応接|入会	anc
margin	利ざや|限界|余白|縁|余裕	anc
nobody	誰も(一人も)～ない|(特に地位や財産のない)とるに足りない人	anc
plaza	(スペイン語)(都市の)広場|プラザ|市場	anc
nova	ラテン語で新星の意味	anc
