Christmas	クリスマス
English	英語
Halloween	ハロウィーン
Japanese	国語
active	活動的な
activity	活動
amusement	娯楽
apples	リンゴ
aquarium	水族館
artist	芸術家
arts	美術
astronaut	宇宙飛行士
attendant	つきそい
aunt	おば
autumn	秋
bad	まずい
badminton	バドミントン
bag	かばん
bag	バッグ
baker	パン職人
ball	ボール
balloon	風船
bananas	バナナ
baseball	野球
basketball	バスケットボール
bat	バット
bathroom	風呂
bathroom	浴室，トイレ
bears	クマ
beautiful	美しい
bedroom	寝室
beefsteak	ビーフステーキ
beetles	カブトムシ
bitter	苦い
book	本
books	本
bookstore	書店
boxing	ボクシング
boy	男の子
brave	勇かんな
brother	兄、弟
brush	磨く
bus	バス
camping	キャンプ
camping	キャンプをすること
cap	ぼうし
cards	トランプ
cats	ネコ
chair	イス
cheering	応えんすること
cheeseburger	チーズバーガー
chef	料理人
chicken	鶏
chorus	コーラス
classmate	クラスメート
cloth	服
cloudy	くもった
club	クラブ
comedian	コメディアン
computer	コンピュータ
contest	大会
cooking	料理すること
cool	かっこいい
cousin	いとこ
crayon	クレヨン
cup	カップ
curry	カレー
dancer	ダンサー
dancing	おどること
delicious	おいしい
dentist	歯科医
desert	さばく
desk	机
dining room	ダイニングルーム
dish	食器
doctor	医者
dodgeball	ドッジボール
dogs	イヌ
doll	人形
drama	劇
driver	運転士
elephants	ゾウ
enjoy	楽しむ
eraser	消しゴム
events	イベント
exciting	わくわくさせる
fall	秋
famous	有名な
fantastic	すばらしい
farmer	農家
father	父
festival	祭り
fireworks	花火
fishing	つりをすること
florist	花屋の店員
forest	森
friend	友達
friendly	親しみやすい
fries	フライドポテト
fun	楽しいこと
funny	おもしろい
game	ゲーム
garden	庭
gentle	やさしい
girl	女の子
glasses	めがね
glove	グローブ
golf	ゴルフ
grandfather	祖父
grandmother	祖母
grandparents	祖父母
grapes	ブドウ
great	すばらしい
guitar	ギター
gym	体育館
hamburger	ハンバーガー
hamsters	ハムスター
handkerchief	ハンカチ
hat	ぼうし
help	助ける
house	家
ice	氷
interesting	興味深い
island	島
jump rope	なわとび
kind	親切な
kitchen	台所
koalas	コアラ
lake	湖
library	図書館
lions	ライオン
make	作る
mall	ショッピングモール
man	男の人
marathon	マラソン
marker	マーカー
math	算数
melon	メロン
mother	母
mountain	山
mountains	山
museum	博物館
music	音楽
nice	すてきな
notebook	ノート
omelet	オムレツ
oranges	オレンジ
painting	絵をかくこと
pandas	パンダ
park	公園
peaches	モモ
pen	ペン
pencil	えんぴつ
pianist	ピアニスト
pigs	ブタ
pilot	パイロット
pizza	ピザ
police officer	警察官
pool	プール
popular	人気のある
practice	練習する
question	質問
rabbits	ウサギ
racket	ラケット
rainy	雨の
reading	本を読むこと
restaurant	レストラン
rice	ごはん
river	川
room	部屋
rugby	ラグビー
ruler	定規
running fast	走ること
salad	サラダ
salty	塩からい
sandwich	サンドイッチ
savanna	サバンナ
science	理科
scientist	科学者
sea	海
shopping	買い物をすること
singer	歌手
singing	歌うこと
sister	姉、妹
skater	スケート選手
skating	スケートをすること
skiing	スキーをすること
snack	スナック菓子
sneakers	スニーカー
snowy	雪の
soccer	サッカー
sour	すっぱい
spaghetti	スパゲッティ
speaking	話すこと
spicy	スパイスのきいた
sports	スポーツ
spring	春
stadium	スタジアム
strawberries	イチゴ
strong	強い
study	勉強する
summer	夏
sunny	晴れた
supermarket	スーパーマーケット
sweet	あまい
swimming	泳ぐこと
swimming	水泳
table tennis	卓球
teacher	先生
team	チーム
temple	寺
tennis	テニス
theater	劇場
tough	丈夫な
toy	おもちゃ
trip	旅行
umbrella	かさ
uncle	おじ
vet	じゅう医
volleyball	バレーボール
wallet	さいふ
watch	うで時計
watermelon	スイカ
wear	着る
window	窓
windy	風の強い
winter	冬
woman	女の人
writer	作家
yo-yo	ヨーヨー
zoo	動物園
zookeeper	動物園の飼育係
